Competition,Type,actual_rank,Athlete First Name,Athlete Last Name,score_qualification_B&L,score_sf_B&L,score_final_B&L,score_qualification_boulder,score_sf_boulder,score_final_boulder,score_qualification_lead,score_sf_lead,score_final_lead
IFSC European Qualifier Laval 2023,Boulder&lead,1,Oriane,Bertone,199.9,144.2,171.9,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,2,Stasa,Gejo,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,3,Laura,Rogora,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,4,Ievgeniia,Kazbekova,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,5,Zelia,Avezou,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,6,Lucia,Dorffel,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,7,Hannah,Meul,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,8,Camilla,Moroni,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,9,Chloe,Caulier,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,10,Mia,Krampl,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,11,Petra,Klingler,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,12,Vita,Lukan,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,13,Manon,Hily,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,14,Helene,Janicot,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,15,Sara,Copar,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,16,Giorgia,Tesio,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,17,Iziar,Martinez Almendros,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,18,Erin,Mcneice,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,19,Ayala,Kerem,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,20,Mattea,Potzi,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,21,Noa,Shiran,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,22,Daria,Nesterenko,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,23,Sandra,Hopfensitz,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,24,Franziska,Sterrer,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,25,Valeri,Kremer,,,,,,,,,
IFSC European Qualifier Laval 2023,Boulder&lead,26,Svana,Bjarnason,,,,,,,,,
Olympic Qualifier Series Shanghai 2024,Boulder&lead,1,Brooke,Raboutou,,,,,,,,,
Olympic Qualifier Series Shanghai 2024,Boulder&lead,2,Chaehyun,Seo,,,,,,,,,
Olympic Qualifier Series Shanghai 2024,Boulder&lead,3,Erin,Mcneice,,,,,,,,,
Olympic Qualifier Series Shanghai 2024,Boulder&lead,4,Miho,Nonaka,,,,,,,,,
Olympic Qualifier Series Shanghai 2024,Boulder&lead,5,Futaba,Ito,,,,,,,,,
Olympic Qualifier Series Shanghai 2024,Boulder&lead,6,Ievgeniia,Kazbekova,,,,,,,,,
Olympic Qualifier Series Shanghai 2024,Boulder&lead,7,Zhilu,Luo,,,,,,,,,
Olympic Qualifier Series Shanghai 2024,Boulder&lead,8,Zelia,Avezou,,,,,,,,,
Olympic Qualifier Series Shanghai 2024,Boulder&lead,9,Camilla,Moroni,,,,,,,,,
Olympic Qualifier Series Shanghai 2024,Boulder&lead,10,Lucia,Dorffel,,,,,,,,,
Olympic Qualifier Series Shanghai 2024,Boulder&lead,11,Jain,Kim,,,,,,,,,
Olympic Qualifier Series Shanghai 2024,Boulder&lead,12,Mia,Krampl,,,,,,,,,
Olympic Qualifier Series Shanghai 2024,Boulder&lead,13,Molly,Thompson-Smith,,,,,,,,,
Olympic Qualifier Series Shanghai 2024,Boulder&lead,14,Anastasia,Sanders,,,,,,,,,
Olympic Qualifier Series Shanghai 2024,Boulder&lead,15,Manon,Hily,,,,,,,,,
